"ModoAgregado","Modo"
"Caminata","Caminata"
"Bicicleta","Bicicleta"
"Transporte Publico","Auto - Metro"
"Transporte Publico","Taxi - Metro"
"Transporte Publico","Otros - Metro"
"Transporte Publico","Otros - Bus TS"
"Transporte Publico","Otros - Bus TS - Metro"
"Otros","Otros"
"Transporte Privado/Auto","Auto"
"Transporte Privado/Auto","Taxi "
"Transporte Publico","Bus TS"
"Transporte Publico","Bus no TS"
"Transporte Publico","Metro"
"Transporte Publico","Taxi Colectivo"
"Transporte Publico","Bus TS - Bus no TS"
"Transporte Publico","Bus TS - Metro"
"Transporte Publico","Bus no TS - Metro"
"Transporte Publico","Taxi Colectivo - Metro"
