RBD;DGV_RBD;NOM_RBD.x;NOM_RBD.y;COD_COM_RBD.x;DIR_RBD;LONGITUD;LATITUD;
6779;2;COLEGIO MARCELA PAZ;COLEGIO MARCELA PAZ;14101;SECTOR LAS GAVIOTAS KM 32, CIP-CRC LAS GAVIOTAS;-73.17998;-39.87682;
13594;1;ESCUELA ESPECIAL DEL LENGUAJE UNIVERSO;ESCUELA ESPECIAL DEL LENGUAJE UNIVERSO;4102;SANTIAGO AMENGUAL   SECTOR SAN JUAN;-71.32894;-29.97259;
18233;8;ESCUELA ESPECIAL DE LENGUAJE ARBOLIRIS;ESCUELA ESPECIAL DE LENGUAJE ARBOLIRIS;8102;WENNMAPU 5586, ESCUADRON, CORONEL;-73.14404;-37.02949;
20246;0;ESCUELA ESPECIAL DE LENGUAJE ALEMANIA;ESCUELA ESPECIAL DE LENGUAJE ALEMANIA;9101;AVENIDA LUIS DURAND NRO. 03751, SECTOR FUNDO EL CARMEN;-72.64911;-38.71873;
26506;3;ESC. DE PARVULOS Y ESPECIAL SANTA JOSEFINA;ESC. DE PARVULOS Y ESPECIAL SANTA JOSEFINA;13118;SANTA JULIA;-70.59315;-33.48010;
31006;9;COLEGIO LAS GAVIOTAS;COLEGIO LAS GAVIOTAS;14101;LLANCAHUE KM. 08;-73.1816389;-39.8741336;
31199;5;COLEGIO DE EDUCACION ESPECIAL ALCALA;COLEGIO DE EDUCACION ESPECIAL ALCALA;4101;CALLE PRINCIPAL CERES, SITIO N°9, LOTE N° 1, SECTOR CERES;-71.1967902;-29.9236404;
40119;6;ESCUELA ESP. DE LENGUAJE AMANCAY;ESCUELA ESP. DE LENGUAJE AMANCAY;9101;EL DESPERTAR Nº1171 VILLA ILUSIÓN, LABRANZA;0;0;
40130;7;ESCUELA ESPECIAL DE LENGUAJE ILWEN;ESCUELA ESPECIAL DE LENGUAJE ILWEN;9101;ISLA NEGRA  LABRANZA;0;0;
40141;2;ESCUELA ESPECIAL DE LENGUAJE SANTA ANA;ESCUELA ESPECIAL DE LENGUAJE SANTA ANA;4101;PASAJE EL ACANTILADO Nº 203 CALETA SAN PEDRO;0;0;
40207;9;ESCUELA ESPECIAL PAX TERRA;ESCUELA ESPECIAL PAX TERRA;4102;PASAJE JUAN GONZALEZ 1643 - PORTAL DE SAN RAMÓN TIERRAS BLANCAS;0;0;
